Section ID	7/20/26 9:24 AM PDT	7/22/26 2:32 AM PDT	7/24/2026, 11:43:00 PM	7/27/2026, 3:25:20 AM	7/28/2026, 8:44:00 PM	7/29/2026, 8:09:00 PM	7/30/2026, 7:06:00 PM	7/31/2026, 6:18:00 PM	8/3/2026, 7:12:00 PM	8/4/2026, 7:14:00 PM	8/5/2026, 10:57:00 PM	8/6/2026, 11:45:00 PM	8/7/2026, 10:57:00 PM	8/9/2026, 8:44:00 PM	8/10/2026, 8:57:00 PM	8/11/2026, 9:25:00 PM	8/12/2026, 6:44:00 PM	8/13/2026, 7:18:00 PM	8/14/2026, 6:41:00 PM	8/16/2026, 10:50:00 PM	8/17/2026, 9:27:00 PM	8/18/2026, 8:53:00 PM	8/18/2026, 11:55:00 PM	8/19/2026, 8:17:00 PM	8/20/2026, 8:33:00 PM	8/21/2026, 6:29:00 PM	8/22/2026, 10:55:00 PM	8/26/2026, 12:12:00 AM	8/27/2026, 10:33:00 PM	8/28/2026, 10:18:00 PM	8/31/2026, 7:15:00 PM	9/1/2026, 9:35:00 PM
E 00001190	30/30	30/30	32/32/0	32/32	32/32/0	32/32/0	31/32/0	28/32/0	26/32/0	24/32/0	24/32/0	24/32/0	24/32/0	23/32/0	20/32/0	19/32/0	19/32/0	19/32/0	19/32/0	20/32/0	20/32/0	19/32/0	19/32/0	16/32/0	14/32/0	9/32/0	8/32/0	9/32/0	9/32/0	8/32/0	5/32/0	3/32/0
E 00001191	30/30	30/30	32/32/0	32/32	32/32/0	32/32/0	32/32/0	31/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	28/32/0	28/32/0	28/32/0	28/32/0	26/32/0	22/32/0	21/32/0	22/32/0	22/32/0	22/32/0	22/32/0	22/32/0	20/32/0
E 00001192	30/30	30/30	32/32/0	32/32	32/32/0	32/32/0	31/32/0	26/32/0	24/32/0	22/32/0	21/32/0	20/32/0	20/32/0	20/32/0	17/32/0	15/32/0	15/32/0	15/32/0	15/32/0	15/32/0	14/32/0	7/32/0	7/32/0	2/32/0	1/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001193	30/30	30/30	35/35/0	35/35	35/35/0	35/35/0	35/35/0	35/35/0	35/35/0	34/35/0	34/35/0	34/35/0	34/35/0	34/35/0	32/35/0	32/35/0	32/35/0	30/35/0	30/35/0	30/35/0	30/35/0	30/35/0	29/35/0	28/35/0	23/35/0	19/35/0	19/35/0	18/35/0	17/35/0	17/35/0	18/35/0	15/35/0
E 00001194	30/30	30/30	33/33/0	33/33	33/33/0	33/33/0	32/33/0	27/33/0	28/33/0	28/33/0	26/33/0	26/33/0	26/33/0	26/33/0	26/33/0	25/33/0	24/33/0	24/33/0	24/33/0	23/33/0	21/33/0	19/33/0	19/33/0	19/33/0	17/33/0	17/33/0	17/33/0	18/33/0	17/33/0	18/33/0	18/33/0	16/33/0
E 00001195	20/20	20/20	19/20/0	19/20	19/20	19/20/0	19/20/0	19/20	17/20/0	18/20/0	17/20/0	17/20/0	17/20/0	17/20/0	14/20/0	11/20/0	11/20/0	11/20/0	11/20/0	11/20/0	11/20/0	10/20/0	10/20/0	9/20/0	9/20/0	8/20/0	7/20/0	6/20/0	6/20/0	6/20/0	5/20/0	5/20/0
E 00001196	20/20	20/20	20/20/0	20/20	20/20/0	20/20/0	20/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	18/20/0	17/20/0	16/20/0	13/20/0	12/20/0	12/20/0	12/20/0	11/20/0	11/20/0	11/20/0	11/20/0	11/20/0
E 00001197	65/65	65/65	64/65/0	64/65	64/65/0	64/65/0	63/65/0	63/65/0	63/65/0	62/65/0	61/65/0	61/65/0	61/65/0	61/65/0	60/65/0	60/65/0	60/65/0	60/65/0	59/65/0	59/65/0	59/65/0	57/65/0	57/65/0	53/65/0	40/65/0	36/65/0	37/65/0	35/65/0	11/40/0	16/45/0	14/45/0	14/45/0
E 00001198	40/40	40/40	40/40/0	40/40	40/40	40/40/0	40/40/0	35/40/0	33/40/0	30/40/0	27/40/0	27/40/0	28/40/0	28/40/0	24/40/0	21/40/0	21/40/0	20/40/0	22/40/0	22/40/0	22/40/0	20/40/0	20/40/0	15/40/0	11/40/0	7/40/0	6/40/0	5/40/0	5/40/0	10/45/0	8/45/0	7/45/0
E 00001199	45/45	45/45	44/45/0	44/45	44/45/0	44/45/0	44/45/0	44/45/0	42/45/0	43/45/0	43/45/0	43/45/0	43/45/0	43/45/0	41/45/0	40/45/0	40/45/0	40/45/0	40/45/0	40/45/0	39/45/0	34/45/0	34/45/0	30/45/0	25/45/0	20/45/0	20/45/0	19/45/0	13/40/0	18/45/0	16/45/0	16/45/0
E 00001200	45/45	45/45	45/45/0	45/45	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0	45/45/0								
E 00001202	70/70	70/70	70/70/0	70/70	70/70/0	70/70/0	69/70/0	69/70/0				66/70/0				65/70/0						65/70/0	65/70/0	65/70/0	65/70/0	65/70/0	66/70/0	66/70/0	70/70/0			
E 00001203	65/65	65/65	65/65/0	64/65	64/65/0	64/65/0	64/65/0	59/65/0	58/65/0	58/65/0	56/65/0	57/65/0	57/65/0	57/65/0	51/65/0	50/65/0	50/65/0	49/65/0	49/65/0	49/65/0	47/65/0	46/65/0	43/65/0	38/65/0	23/65/0	13/65/0	10/65/0	8/65/0	7/65/0	12/70/0	9/70/0	8/70/0
E 00001204	65/65	65/65	65/65/0	65/65	65/65	65/65/0	65/65/0	61/65/0	61/65/0	57/65/0	56/65/0	56/65/0	56/65/0	57/65/0	54/65/0	53/65/0	53/65/0	53/65/0	51/65/0	51/65/0	51/65/0	48/65/0	48/65/0	33/65/0	26/65/0	23/65/0	20/65/0	0/47/0	0/47/0	0/47/0	0/47/0	0/47/0
E 00001205	123/123	123/123	123/123/0	123/123	123/123/0	123/123/0	122/123/0	120/123/0	113/123/0	108/123/0	107/123/0	107/123/0	107/123/0	107/123/0	105/123/0	99/123/0	98/123/0	97/123/0	98/123/0	98/123/0	96/123/0	93/123/0	90/123/0	81/123/0	68/123/0	57/123/0	56/123/0	0/68/0	1/68/0	1/68/0	2/68/0	2/68/0
E 00001206	65/65	65/65	64/65/0	64/65	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	64/65/0	65/65/0								
E 00001207	192/192	192/192	188/192/0	188/192	188/192/0	188/192/0	187/192/0	178/192/0	176/192/0	173/192/0	171/192/0	170/192/0	170/192/0	171/192/0	167/192/0	160/192/0	160/192/0	161/192/0	161/192/0	161/192/0	153/192/0	145/192/0	144/192/0	134/192/0	110/192/0	64/192/0	57/192/0	51/192/0	48/192/0	48/192/0	41/192/0	2/192/0
E 00001208	32/32	32/32	30/32/0	30/32	30/32/0	30/32/0	29/32/0	27/32/0	26/32/0	25/32/0	24/32/0	23/32/0	23/32/0	23/32/0	22/32/0	16/32/0	16/32/0	16/32/0	16/32/0	16/32/0	15/32/0	13/32/0	13/32/0	8/32/0	0/32/0	0/32/0	0/32/0	1/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001209	32/32	32/32	31/32/0	31/32	31/32/0	31/32/0	31/32/0	29/32/0	28/32/0	27/32/0	27/32/0	27/32/0	27/32/0	28/32/0	27/32/0	28/32/0	28/32/0	28/32/0	28/32/0	28/32/0	26/32/0	25/32/0	25/32/0	24/32/0	18/32/0	7/32/0	6/32/0	2/32/0	1/32/0	1/32/0	1/32/0	0/32/0
E 00001210	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	26/32/0	24/32/0	24/32/0	22/32/0	15/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001211	32/32	32/32	31/32/0	31/32	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	28/32/0	27/32/0	27/32/0	26/32/0	24/32/0	15/32/0	11/32/0	8/32/0	8/32/0	8/32/0	6/32/0	0/32/0
E 00001212	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	29/32/0	29/32/0	29/32/0	30/32/0	30/32/0	28/32/0	28/32/0	28/32/0	28/32/0	26/32/0	17/32/0	15/32/0	14/32/0	13/32/0	13/32/0	8/32/0	0/32/0
E 00001213	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	28/32/0	27/32/0	26/32/0	26/32/0	24/32/0	24/32/0	24/32/0	24/32/0	24/32/0	24/32/0	0/32/0
E 00001214	448/448	448/448	444/448/0	443/448	444/448/0	443/448/0	441/448/0	437/448/0	435/448/0	432/448/0	429/448/0	429/448/0	429/448/0	429/448/0	418/448/0	389/448/0	387/448/0	388/448/0	388/448/0	388/448/0	375/448/0	358/448/0	358/448/0	344/448/0	302/448/0	209/448/0	202/448/0	191/448/0	185/448/0	186/448/0	178/448/0	73/448/0
E 00001215	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	29/32/0	26/32/0	25/32/0	26/32/0	26/32/0	26/32/0	23/32/0	20/32/0	20/32/0	19/32/0	15/32/0	4/32/0	4/32/0	2/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001216	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	30/32/0	29/32/0	29/32/0	28/32/0	28/32/0	28/32/0	28/32/0	28/32/0	24/32/0	23/32/0	23/32/0	23/32/0	23/32/0	21/32/0	20/32/0	20/32/0	19/32/0	14/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001217	32/32	32/32	31/32/0	31/32	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	26/32/0	22/32/0	22/32/0	18/32/0	9/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001218	32/32	32/32	32/32/0	32/32	32/32/0	31/32/0	30/32/0	30/32/0	30/32/0	29/32/0	28/32/0	28/32/0	28/32/0	28/32/0	27/32/0	21/32/0	21/32/0	21/32/0	21/32/0	21/32/0	19/32/0	16/32/0	16/32/0	15/32/0	8/32/0	1/32/0	1/32/0	1/32/0	1/32/0	1/32/0	1/32/0	0/32/0
E 00001219	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	30/32/0	30/32/0	25/32/0	25/32/0	22/32/0	23/32/0	23/32/0	20/32/0	0/32/0
E 00001220	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	26/32/0	26/32/0	24/32/0	22/32/0	11/32/0	9/32/0	7/32/0	6/32/0	6/32/0	2/32/0	0/32/0
E 00001221	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	29/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	24/32/0	20/32/0	4/32/0	1/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001222	32/32	32/32	31/32/0	31/32	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	26/32/0	25/32/0	25/32/0	25/32/0	25/32/0	25/32/0	23/32/0	20/32/0	20/32/0	17/32/0	14/32/0	6/32/0	5/32/0	4/32/0	3/32/0	3/32/0	2/32/0	0/32/0
E 00001223	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	28/32/0	1/32/0
E 00001224	32/32	32/32	31/32/0	31/32	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	28/32/0	28/32/0	27/32/0	27/32/0	24/32/0	24/32/0	23/32/0	23/32/0	23/32/0	23/32/0	0/32/0
E 00001225	32/32	32/32	31/32/0	30/32	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	28/32/0	27/32/0	27/32/0	27/32/0	22/32/0	15/32/0	13/32/0	12/32/0	10/32/0	11/32/0	12/32/0	0/32/0
E 00001226	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	29/32/0	27/32/0	27/32/0	27/32/0	27/32/0	27/32/0	26/32/0	26/32/0	26/32/0	27/32/0	24/32/0	19/32/0	19/32/0	18/32/0	18/32/0	18/32/0	18/32/0	0/32/0
E 00001227	128/128	128/128	128/128/0	128/128	128/128/0	128/128/0	128/128/0	128/128/0	126/128/0	124/128/0	124/128/0	124/128/0	124/128/0	123/128/0	120/128/0	117/128/0	117/128/0	117/128/0	117/128/0	117/128/0	114/128/0	112/128/0	112/128/0	109/128/0	105/128/0	74/128/0	71/128/0	71/128/0	69/128/0	70/128/0	71/128/0	55/128/0
E 00001228	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	28/32/0	26/32/0	26/32/0	27/32/0	27/32/0	27/32/0	26/32/0	24/32/0	24/32/0	21/32/0	19/32/0	1/32/0	0/32/0	1/32/0	0/32/0	0/32/0	2/32/0	0/32/0
E 00001229	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	28/32/0	22/32/0	18/32/0	17/32/0	17/32/0	17/32/0	17/32/0	7/32/0
E 00001230	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	26/32/0	26/32/0	26/32/0	26/32/0	26/32/0	26/32/0	24/32/0
E 00001231	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	32/32/0	31/32/0	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	29/32/0	27/32/0	27/32/0	27/32/0	26/32/0	26/32/0	26/32/0	23/32/0
E 00001232	64/64	64/64	63/64/0	63/64	63/64/0	63/64/0	63/64/0	58/64/0	52/64/0	50/64/0	50/64/0	50/64/0	49/64/0	49/64/0	42/64/0	38/64/0	37/64/0	38/64/0	38/64/0	38/64/0	35/64/0	31/64/0	31/64/0	25/64/0	19/64/0	0/64/0	0/64/0	0/64/0	0/64/0	0/64/0	0/64/0	0/64/0
E 00001233	32/32	32/32	32/32/0	32/32	32/32/0	32/32/0	32/32/0	28/32/0	23/32/0	21/32/0	21/32/0	21/32/0	20/32/0	21/32/0	17/32/0	14/32/0	13/32/0	14/32/0	14/32/0	14/32/0	11/32/0	8/32/0	8/32/0	3/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001234	32/32	32/32	31/32/0	31/32	31/32/0	31/32/0	31/32/0	30/32/0	30/32/0	29/32/0	29/32/0	29/32/0	29/32/0	28/32/0	25/32/0	24/32/0	24/32/0	24/32/0	24/32/0	24/32/0	24/32/0	24/32/0	23/32/0	22/32/0	19/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001235	64/64	64/64	62/64/0	62/64	62/64/0	61/64/0	61/64/0	58/64/0	54/64/0	52/64/0	49/64/0	49/64/0	49/64/0	49/64/0	42/64/0	30/64/0	28/64/0	29/64/0	29/64/0	29/64/0	24/64/0	17/64/0	16/64/0	9/64/0	0/64/0	0/64/0	0/64/0	0/64/0	0/64/0	0/64/0	0/64/0	0/64/0
E 00001236	32/32	32/32	31/32/0	31/32	31/32/0	30/32/0	30/32/0	29/32/0	26/32/0	24/32/0	21/32/0	21/32/0	21/32/0	21/32/0	15/32/0	2/32/0	1/32/0	2/32/0	2/32/0	2/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001237	32/32	32/32	31/32/0	31/32	31/32/0	31/32/0	31/32/0	29/32/0	28/32/0	28/32/0	28/32/0	28/32/0	28/32/0	28/32/0	27/32/0	28/32/0	27/32/0	27/32/0	27/32/0	27/32/0	25/32/0	16/32/0	16/32/0	9/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0	0/32/0
E 00001239	70/70	70/70	69/70/0	69/70	69/70/0	69/70/0	69/70/0	62/70/0	59/70/0	56/70/0	55/70/0	56/70/0	56/70/0	56/70/0	53/70/0	51/70/0	49/70/0	49/70/0	49/70/0	49/70/0	47/70/0	43/70/0	43/70/0	36/70/0	32/70/0	32/70/0	29/70/0	29/70/0	28/70/0	28/70/0	26/70/0	26/70/0
E 00001240	45/45	45/45	45/45/0	45/45	45/45	45/45/0	45/45/0	44/45/0	44/45/0	44/45/0	44/45/0	44/45/0	44/45/0	44/45/0	42/45/0	42/45/0	42/45/0	42/45/0	42/45/0	42/45/0	42/45/0	42/45/0	41/45/0	38/45/0	37/45/0	34/45/0	34/45/0	32/45/0	32/45/0	32/45/0	32/45/0	32/45/0
E 00001242	45/45	45/45	44/45	44/45	44/45/0	43/45/0	43/45/0	41/45/0	41/45/0	41/45/0	40/45/0	40/45/0	40/45/0	40/45/0	38/45/0	38/45/0	37/45/0	36/45/0	37/45/0	38/45/0	36/45/0	35/45/0	35/45/0	33/45/0	23/45/0	24/45/0	22/45/0	20/45/0	20/45/0	20/45/0	21/45/0	21/45/0
E 00001244	45/45	45/45	45/45/0	45/45	45/45/0	45/45/0	45/45/0	45/45/0	43/45/0	43/45/0	42/45/0	42/45/0	42/45/0	42/45/0	39/45/0	39/45/0	36/45/0	36/45/0	37/45/0	37/45/0	34/45/0	34/45/0	34/45/0	30/45/0	23/45/0	20/45/0	19/45/0	16/45/0	16/45/0	16/45/0	15/45/0	12/45/0
E 00001245	187/187	187/187	183/187/0	183/187	183/187/0	183/187/0	182/187/0	177/187/0	174/187/0	170/187/0	167/187/0	107/128/0	107/128/0	106/128/0	94/128/0	92/128/0	91/128/0	91/128/0	91/128/0	91/128/0	87/128/0	77/128/0	77/128/0	62/128/0	32/128/0	18/128/0	15/128/0	9/128/0	3/123/0	8/128/0	7/128/0	4/128/0
E 00001246	65/65	65/65	65/65/0	65/65	65/65	64/65/0	64/65/0	58/65/0	58/65/0	54/65/0	52/65/0	52/65/0	52/65/0	52/65/0	45/65/0	44/65/0	43/65/0	44/65/0	43/65/0	43/65/0	40/65/0	36/65/0	36/65/0	24/65/0	9/65/0	0/65/0	0/65/0	0/65/0	1/65/0	6/70/0	1/70/0	0/70/0
E 00001247	65/65	65/65	64/65/0	64/65	64/65/0	64/65/0	61/65/0	59/65/0	56/65/0	52/65/0	48/65/0	48/65/0	49/65/0	50/65/0	41/65/0	33/65/0	33/65/0	34/65/0	34/65/0	34/65/0	32/65/0	25/65/0	25/65/0	18/65/0	0/65/0	0/65/0	0/65/0	0/65/0	0/65/0	5/70/0	1/70/0	0/70/0
E 00001249	237/237	237/237	229/237/0	229/237	229/237/0	229/237/0	228/237/0	219/237/0	215/237/0	211/237/0	209/237/0	207/237/0	207/237/0	207/237/0	182/237/0	152/237/0	149/237/0	150/237/0	150/237/0	150/237/0	144/237/0	140/237/0	139/237/0	132/237/0	109/237/0	75/237/0	70/237/0	65/237/0	64/237/0	222/395/0	195/395/0	4/395/0
E 00001250	237/237	237/237	236/237/0	236/237	236/237/0	236/237/0	236/237/0	236/237/0	235/237/0	233/237/0	231/237/0	231/237/0	231/237/0	231/237/0	226/237/0	220/237/0	220/237/0	220/237/0	220/237/0	220/237/0	220/237/0	218/237/0	218/237/0	216/237/0	208/237/0	200/237/0	199/237/0	198/237/0	198/237/0	356/395/0	346/395/0	234/395/0
E 00001251	237/237	237/237	236/237/0	236/237	236/237/0	236/237/0	234/237/0	232/237/0	231/237/0	230/237/0	227/237/0	227/237/0	227/237/0	228/237/0	215/237/0	206/237/0	204/237/0	204/237/0	204/237/0	203/237/0	202/237/0	201/237/0	201/237/0	198/237/0	196/237/0	183/237/0	181/237/0	181/237/0	181/237/0	339/395/0	322/395/0	124/395/0
E 00001252	237/237	237/237	235/237/0	235/237	235/237/0	235/237/0	234/237/0	233/237/0	233/237/0	232/237/0	232/237/0	232/237/0	231/237/0	231/237/0	226/237/0	221/237/0	220/237/0	219/237/0	219/237/0	219/237/0	219/237/0	218/237/0	218/237/0	214/237/0	214/237/0	208/237/0	208/237/0	209/237/0	209/237/0	367/395/0	360/395/0	310/395/0
E 00001253	295/295	295/295	281/295/0	280/295	277/295/0	276/295/0	275/295/0	268/295/0	265/295/0	252/295/0	247/295/0	247/295/0	247/295/0	246/295/0	180/295/0	102/295/0	99/295/0	102/295/0	99/295/0	98/295/0	92/295/0	92/295/0	92/295/0	79/295/0	58/295/0	18/295/0	15/295/0	10/295/0	10/295/0	44/328/0	43/328/0	42/328/0
E 00001254	295/295	295/295	287/295/0	287/295	287/295/0	285/295/0	285/295/0	277/295/0	277/295/0	276/295/0	274/295/0	273/295/0	273/295/0	273/295/0	248/295/0	198/295/0	195/295/0	197/295/0	196/295/0	197/295/0	187/295/0	180/295/0	180/295/0	176/295/0	134/295/0	58/295/0	51/295/0	51/295/0	46/295/0	79/328/0	76/328/0	75/328/0
E 00001255	197/197	197/197	194/197/0	194/197	193/197/0	193/197/0	193/197/0	189/197/0	186/197/0	184/197/0	179/197/0	179/197/0	178/197/0	178/197/0	161/197/0	143/197/0	139/197/0	142/197/0	139/197/0	139/197/0	137/197/0	134/197/0	134/197/0	130/197/0	119/197/0	103/197/0	99/197/0	94/197/0	93/197/0	291/395/0	286/395/0	202/395/0
E 00001256	197/197	197/197	194/197/0	194/197	194/197/0	194/197/0	194/197/0	191/197/0	190/197/0	190/197/0	190/197/0	190/197/0	190/197/0	190/197/0	188/197/0	181/197/0	178/197/0	182/197/0	182/197/0	182/197/0	180/197/0	177/197/0	177/197/0	172/197/0	159/197/0	142/197/0	140/197/0	140/197/0	138/197/0	336/395/0	333/395/0	308/395/0
E 00001257	197/197	197/197	187/197/0	187/197	187/197/0	186/197/0	185/197/0	180/197/0	178/197/0	177/197/0	176/197/0	176/197/0	176/197/0	176/197/0	162/197/0	115/197/0	109/197/0	109/197/0	109/197/0	109/197/0	99/197/0	89/197/0	89/197/0	83/197/0	68/197/0	42/197/0	36/197/0	30/197/0	25/197/0	223/395/0	220/395/0	166/395/0
E 00001258	197/197	197/197	192/197/0	192/197	192/197/0	193/197/0	192/197/0	190/197/0	190/197/0	185/197/0	183/197/0	183/197/0	183/197/0	182/197/0	151/197/0	103/197/0	100/197/0	104/197/0	102/197/0	103/197/0	94/197/0	83/197/0	81/197/0	76/197/0	49/197/0	7/197/0	5/197/0	4/197/0	6/197/0	204/395/0	189/395/0	147/395/0
E 00001259	115/115	115/115	107/115/0	107/115	106/115/0	104/115/0	104/115/0	55/115/0	47/115/0	1/115/0	1/115/0	1/115/0	1/115/0	1/115/0	1/115/0	1/115/0	1/115/0	1/115/0	2/115/0	2/115/0	2/115/0	2/115/0	2/115/0	2/115/0	2/115/0	2/115/0	2/115/0	2/115/0	2/115/0	79/192/0	67/192/0	66/192/0
E 00001260	115/115	115/115	107/115/0	107/115	107/115/0	106/115/0	105/115/0	80/115/0	76/115/0	1/115/0	1/115/0	1/115/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	2/116/0	3/116/0	3/116/0	3/116/0	3/116/0	3/116/0	80/193/0	73/192/0	70/192/0
E 00001261	244/244	244/244	234/244/0	234/244	233/244/0	231/244/0	228/244/0	128/244/0	121/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	0/244/0	89/348/0	68/348/0	66/348/0
E 00001262	244/244	244/244	236/244/0	235/244	236/244/0	234/244/0	233/244/0	205/244/0	204/244/0	140/244/0	119/244/0	115/244/0	112/244/0	111/244/0	99/244/0	99/244/0	99/244/0	99/244/0	97/244/0	96/244/0	88/244/0	72/244/0	71/244/0	46/244/0	30/244/0	27/244/0	25/244/0	25/244/0	23/244/0	127/348/0	120/348/0	120/348/0
E 00001263	230/230	230/230	223/230/0	222/230	221/230/0	220/230/0	220/230/0	214/230/0	214/230/0	187/230/0	167/230/0	166/230/0	165/230/0	163/230/0	94/230/0	70/230/0	69/230/0	70/230/0	69/230/0	69/230/0	64/230/0	60/230/0	59/230/0	45/230/0	4/230/0	4/230/0	4/230/0	4/230/0	6/230/0	101/328/0	15/328/0	6/328/0
E 00001264	230/230	230/230	230/230/0	230/230	230/230/0	229/230/0	228/230/0	226/230/0	224/230/0	209/230/0	202/230/0	202/230/0	201/230/0	199/230/0	171/230/0	154/230/0	152/230/0	155/230/0	153/230/0	153/230/0	146/230/0	142/230/0	142/230/0	130/230/0	81/230/0	27/230/0	27/230/0	18/230/0	15/230/0	113/328/0	71/328/0	60/328/0
E 00001265	230/230	230/230	230/230/0	230/230	230/230/0	228/230/0	228/230/0	221/230/0	220/230/0	210/230/0	206/230/0	206/230/0	206/230/0	205/230/0	177/230/0	167/230/0	165/230/0	168/230/0	167/230/0	167/230/0	161/230/0	159/230/0	159/230/0	144/230/0	94/230/0	40/230/0	39/230/0	37/230/0	34/230/0	132/328/0	91/328/0	91/328/0
